region_W
t	luma
0.0	17.324967948717948
0.2	17.629378205128205
0.4	17.239653846153846
0.6	17.242948717948718
0.8	17.501323717948715
1.0	17.69775641025641
1.2	16.664365384615387
1.4000000000000001	16.664365384615387
1.6	17.145717948717948
1.8	17.145717948717948
2.0	17.19186217948718
2.2	19.061333333333334
2.4	19.668416666666666
2.6	19.668416666666666
2.8000000000000003	18.35797435897436
3.0	18.117141025641025
3.2	17.92353846153846
3.4	18.44993269230769
3.6	18.44993269230769
3.8000000000000003	17.594641025641025
4.0	17.89403846153846
4.2	17.936634615384616
4.4	17.89002564102564
4.6000000000000005	17.89002564102564
4.8	17.49575641025641
5.0	18.35826923076923
5.2	18.696217948717944
5.4	18.696217948717944
5.6000000000000005	19.103346153846154
5.8	19.286878205128204
6.0	19.595051282051283
6.2	18.302884615384613
6.44	18.659685897435896
6.6000000000000005	18.659685897435896
6.8	18.042147435897434
7.0	18.526448717948718
7.2	18.49601282051282
7.44	18.49601282051282
7.640000000000001	17.667974358974355
7.84	18.132439102564103
8.0	18.420743589743587
8.2	18.833602564102566
8.44	18.811096153846155
8.64	18.811096153846155
8.84	18.7771891025641
9.040000000000003	18.7771891025641
9.24	18.348333333333333
9.44	17.921089743589743
9.64	18.12301282051282
9.84	17.816897435897435
10.040000000000003	18.074019230769228
10.24	18.09948717948718
10.44	18.33324358974359
10.64	18.33324358974359
10.84	18.187778846153847
11.040000000000003	18.187778846153847
11.24	19.772407051282052
11.44	19.97198076923077
11.64	19.195871794871795
11.84	19.136884615384613
12.040000000000003	18.292304487179486
12.24	18.438051282051283
12.44	18.063185897435897
12.64	18.063185897435897
12.84	17.97501282051282
13.040000000000003	17.8380641025641
13.24	18.006641025641024
13.44	17.515416666666667
13.64	17.709467948717947
13.84	18.02141346153846
14.040000000000003	20.75758974358974
14.24	19.774653846153846
14.44	19.774653846153846
14.64	20.173599358974357
14.84	20.190798076923077
15.040000000000003	20.215185897435898
15.24	19.73596794871795
15.44	19.390032051282052
15.64	20.019942307692308
15.84	19.153166666666667
16.04	19.76663782051282
16.240000000000002	19.081999999999997
16.44	19.081999999999997
16.64	18.29260897435897
16.84	18.52486538461538
17.080000000000005	19.625608974358975
17.240000000000002	20.650089743589742
17.44	20.631564102564102
17.64	20.631564102564102
17.84	20.04551282051282
18.080000000000005	19.236397435897434
18.28	19.037147435897435
18.48	19.037147435897435
18.64	18.964064102564105
18.84	19.251266025641023
19.080000000000005	18.839477564102562
19.28	18.862179487179485
19.48	18.609891025641026
19.68	18.363442307692306
19.84	18.430038461538462
20.080000000000005	20.57063782051282
20.28	20.57063782051282
20.48	20.12238782051282
20.68	19.40106730769231
20.88	19.11680769230769
21.080000000000005	18.766942307692307
21.28	18.65753846153846
21.48	18.351397435897436
21.68	18.369173076923076
21.88	18.072705128205126
22.080000000000005	18.072705128205126
22.28	19.086826923076924
22.48	18.727346153846153
22.68	18.781839743589742
22.88	18.809461538461537
23.080000000000005	20.019852564102564
23.28	20.48427564102564
23.48	20.48427564102564
23.68	19.641737179487176
23.88	19.641737179487176
24.080000000000005	20.14418269230769
24.28	19.684429487179486
24.48	19.144987179487178
24.68	19.108378205128204
24.88	19.581477564102563
25.080000000000005	18.804102564102564
25.28	19.000160256410254
25.48	19.000160256410254
25.68	18.752673076923077
25.88	18.961096153846153
26.080000000000005	19.42351282051282
26.28	21.00354487179487
26.48	20.22738782051282
26.68	20.034769230769232
26.88	19.50026282051282
27.080000000000005	19.860256410256408
27.28	18.769525641025638
27.48	18.769525641025638
27.72	18.726673076923074
27.92	18.998576923076925
28.080000000000005	18.71947435897436
28.28	18.992512820512818
28.48	18.93249038461538
28.72	18.38551923076923
28.92	19.502644230769228
29.12	21.397240384615383
29.32	20.468304487179488
29.48	20.468304487179488
29.72	19.84925641025641
29.92	19.845407051282052
30.12	19.902134615384618
30.32	19.655423076923075
30.52	19.292160256410256
30.72	18.55526282051282
30.92	19.099429487179485
31.12	19.096083333333333
31.32	19.12535897435897
31.52	19.12535897435897
31.720000000000002	17.793955128205127
31.92	18.493022435897437
32.12	20.68961858974359
32.32	20.667964743589742
32.52	20.667964743589742
32.72	19.94954807692308
32.92	19.148192307692305
33.12	19.148192307692305
33.32	18.985217948717946
33.52	18.817054487179487
33.72	18.824371794871794
33.92	18.191358974358973
34.12	18.41521794871795
34.32	18.53880128205128
34.52	18.53880128205128
34.72	18.382320512820513
34.92	20.03576282051282
35.12	20.03576282051282
35.32	20.248342948717948
35.52	19.575608974358975
35.72	19.801564102564104
35.92	19.42627564102564
36.12	19.011852564102565
36.32	19.23497435897436
36.52	19.23497435897436
36.72	17.925935897435895
36.92	17.925935897435895
37.16000000000001	18.633698717948718
37.36	18.557557692307693
37.52	18.806397435897438
37.72	17.606192307692307
37.92	18.963772435897436
38.16000000000001	21.014653846153845
38.36	19.404477564102564
38.56	19.404477564102564
38.76	19.62273076923077
38.92	19.315791666666666
39.16000000000001	18.714160256410256
39.36	18.23999358974359
39.56	17.981955128205126
39.76	18.582025641025638
39.96	18.351647435897434
40.16000000000001	18.17203846153846
40.36	18.44653846153846
40.56	18.44653846153846
40.76	17.905474358974356
40.96	17.66548717948718
41.16000000000001	20.237817307692307
41.36	20.126310897435893
41.56	19.627653846153844
41.76	19.01121794871795
41.96	18.155076923076923
42.16000000000001	19.00454487179487
42.36	18.539358974358972
42.56	18.539358974358972
42.76	18.7889358974359
42.96	18.919730769230767
43.16000000000001	18.79338141025641
43.36	18.168499999999998
43.56	18.168499999999998
43.76	17.960439102564102
43.96	19.379842948717947
44.16000000000001	20.396903846153844
44.36	20.396903846153844
44.56	19.45678846153846
44.76	19.168153846153846
44.96	19.480198717948717
45.16000000000001	18.77007051282051
45.36	18.380621794871793
45.56	18.380621794871793
45.76	19.298634615384614
45.96	18.295660256410255
46.16000000000001	18.295660256410255
46.36	17.988378205128203
46.56	18.36779487179487
46.800000000000004	18.180858974358973
46.96	18.90729487179487
47.16000000000001	20.31450641025641
47.36	19.513455128205127
47.56	19.513455128205127
47.800000000000004	19.010657051282053
48.0	19.010657051282053
