region_D
t	luma
0.0	21.48727213114754
0.16	21.160763934426228
0.36	21.069022950819672
0.56	21.069022950819672
0.8	21.433203278688524
1.0	21.43429180327869
1.2	20.61515737704918
1.4000000000000001	21.14246557377049
1.56	20.833383606557376
1.8	20.833383606557376
2.0	20.893216393442625
2.2	20.893216393442625
2.4	21.42170163934426
2.6	23.739288524590165
2.8000000000000003	24.545393442622952
3.0	24.339737704918033
3.2	24.281022950819672
3.4	23.808904918032784
3.6	23.450954098360654
3.8000000000000003	23.450954098360654
4.0	22.998295081967214
4.2	23.13384262295082
4.4	22.96293442622951
4.6000000000000005	22.241531147540982
4.8	22.636465573770494
5.0	22.779747540983607
5.2	22.68187213114754
5.4	24.51202295081967
5.6000000000000005	24.373485245901637
5.8	24.373485245901637
6.0	24.049845901639344
6.2	23.60712786885246
6.4	23.36792786885246
6.6000000000000005	22.855173770491803
6.8	23.355065573770492
7.0	22.843904918032784
7.2	22.777829508196724
7.4	22.817436065573773
7.6000000000000005	22.2183737704918
7.8	22.2183737704918
8.0	22.186059016393443
8.2	22.136740983606558
8.4	23.553714754098362
8.6	24.44327213114754
8.8	23.849740983606555
9.0	24.126862295081967
9.200000000000001	23.115754098360654
9.44	23.341888524590164
9.64	23.050872131147543
9.8	23.050872131147543
10.0	22.760160655737707
10.200000000000001	22.796560655737704
10.44	22.371459016393445
10.64	22.25711475409836
10.84	22.25711475409836
11.0	22.351183606557374
11.200000000000001	22.81455737704918
11.44	24.11796393442623
11.64	24.11796393442623
11.84	24.091596721311475
12.040000000000003	24.126596721311476
12.24	23.256209836065572
12.44	23.253131147540984
12.64	23.59526557377049
12.84	23.59526557377049
13.040000000000003	22.852593442622954
13.24	23.07483606557377
13.44	23.07483606557377
13.64	22.653531147540985
13.84	22.67252786885246
14.040000000000003	22.30149836065573
14.24	22.063613114754098
14.44	25.418704918032784
14.64	24.31507213114754
14.84	24.31507213114754
15.040000000000003	24.092954098360657
15.24	24.092954098360657
15.44	24.128206557377048
15.64	23.311924590163933
15.84	23.339586885245904
16.04	23.028793442622952
16.240000000000002	23.393895081967212
16.44	22.520088524590165
16.64	22.987698360655738
16.84	22.987698360655738
17.04	22.883645901639344
17.240000000000002	22.166049180327867
17.44	23.993091803278688
17.64	24.93721967213115
17.84	24.842832786885246
18.04	24.52484918032787
18.240000000000002	23.75123606557377
18.44	23.171331147540982
18.64	23.062029508196723
18.84	23.062029508196723
19.04	23.222436065573767
19.240000000000002	22.913891803278688
19.44	22.601380327868853
19.64	22.553288524590165
19.84	22.901547540983607
20.080000000000005	22.959626229508196
20.240000000000002	23.588826229508197
20.44	24.693226229508195
20.64	24.418275409836067
20.84	24.418275409836067
21.080000000000005	24.448813114754095
21.28	23.731734426229508
21.48	23.217131147540986
21.64	23.016924590163935
21.84	23.016924590163935
22.080000000000005	22.8233606557377
22.28	22.169029508196722
22.48	22.68434426229508
22.68	22.68434426229508
22.84	22.362354098360655
23.080000000000005	22.383914754098356
23.28	22.82833770491803
23.48	24.595039344262293
23.68	24.42717704918033
23.88	24.42717704918033
24.080000000000005	24.13971475409836
24.28	23.683980327868852
24.48	23.84090819672131
24.68	23.353947540983604
24.88	22.672649180327866
25.080000000000005	22.495649180327867
25.28	22.910537704918035
25.48	22.785295081967213
25.68	22.666445901639346
25.88	22.666445901639346
26.080000000000005	22.074845901639346
26.28	24.60560655737705
26.48	24.60560655737705
26.68	23.87091475409836
26.88	24.468452459016394
27.080000000000005	23.797927868852458
27.28	23.204816393442623
27.48	23.46258032786885
27.68	23.289839344262294
27.88	23.289839344262294
28.080000000000005	23.124783606557376
28.28	22.75190819672131
28.48	21.52989508196721
28.68	21.962839344262292
28.88	22.1286
29.080000000000005	21.931193442622952
29.28	23.22721639344262
29.48	24.00562950819672
29.68	24.228377049180327
29.88	24.228377049180327
30.080000000000005	24.28563606557377
30.28	23.677436065573772
30.48	23.256360655737705
30.72	22.83261967213115
30.88	22.895462295081966
31.080000000000005	22.75506229508197
31.28	22.10650819672131
31.48	22.176475409836065
31.720000000000002	22.158609836065573
31.92	22.158609836065573
32.08	22.704059016393444
32.28	22.777721311475407
32.480000000000004	24.200947540983606
32.72	24.516403278688525
32.92	24.516403278688525
33.12	23.81287868852459
33.28	23.58563606557377
33.480000000000004	23.31295737704918
33.72	23.31295737704918
33.92	23.62900655737705
34.12	23.014780327868852
34.32	22.152731147540983
34.480000000000004	22.74069180327869
34.72	22.472324590163932
34.92	22.472324590163932
35.12	22.17582950819672
35.32	25.2679737704918
35.52	25.2679737704918
35.72	24.56755737704918
35.92	24.0691868852459
36.12	23.381154098360657
36.32	24.031344262295082
36.52	23.42401639344262
36.72	23.2993737704918
36.92	23.2993737704918
37.12	23.17823606557377
37.32	22.953832786885247
37.52	22.953832786885247
37.72	22.333288524590166
37.92	22.291347540983605
38.12	21.922822950819672
38.32	23.808996721311477
38.52	24.602963934426228
38.72	24.095331147540982
38.92	24.095331147540982
39.12	23.186708196721312
39.32	23.186708196721312
39.52	22.163350819672132
39.72	22.549721311475405
39.92	23.027377049180327
40.12	22.5725868852459
40.32	23.00060983606557
40.52	22.17110819672131
40.72	22.71652131147541
40.92	22.71652131147541
41.12	22.35089180327869
41.32	23.688560655737703
41.52	25.23506557377049
41.72	24.742498360655734
41.92	24.1016
42.12	24.04055081967213
42.32	23.390131147540984
42.52	23.448590163934426
42.72	23.448590163934426
42.92	23.318701639344262
43.12	22.45215081967213
43.36	22.982288524590164
43.52	22.75543606557377
43.72	22.4758
43.92	22.902842622950818
44.12	22.84959344262295
44.36	24.939275409836064
44.56	24.26785573770492
44.76	24.26785573770492
44.96	24.207403278688524
45.12	23.44857049180328
45.36	23.04607213114754
45.56	22.85769508196721
45.76	22.147459016393437
45.96	22.147459016393437
46.16000000000001	22.13017049180328
46.36	22.899960655737708
46.56	21.411498360655735
46.76	21.411498360655735
46.96	22.134688524590164
47.16000000000001	21.563363934426228
47.36	23.754918032786886
47.56	24.788281967213113
47.76	24.310016393442623
47.96	24.310016393442623
48.16000000000001	23.705327868852457
48.36	22.945681967213115
48.56	22.945681967213115
48.76	22.842934426229505
48.96	23.156075409836067
49.16000000000001	22.146832786885245
49.36	22.43449180327869
49.56	22.15187868852459
49.76	22.451780327868853
49.96	21.990131147540986
50.16000000000001	23.095180327868853
50.36	23.095180327868853
50.56	25.104865573770493
50.76	23.815131147540985
50.96	23.53932786885246
51.16000000000001	23.1788
51.36	23.606229508196723
51.56	23.08205573770492
51.76	23.08205573770492
51.96	22.28987868852459
52.16000000000001	21.95246557377049
52.36	21.95246557377049
52.56	22.36468524590164
52.800000000000004	22.1735868852459
53.0	21.157636065573772
53.16000000000001	21.9597737704918
53.36	24.40854426229508
53.56	23.791931147540986
53.800000000000004	23.791931147540986
54.0	24.101131147540983
54.2	23.315911475409834
54.36	22.767262295081967
54.56	23.09346557377049
54.800000000000004	23.34991475409836
55.0	23.39137049180328
55.2	22.59642295081967
55.4	22.168085245901636
55.6	22.86529836065574
55.800000000000004	22.86529836065574
56.0	22.465118032786886
56.2	22.38990819672131
56.4	23.320698360655737
56.6	24.234347540983606
56.800000000000004	24.450832786885247
57.0	23.243718032786887
57.2	23.334324590163934
57.4	23.252416393442623
57.6	22.687193442622952
57.800000000000004	22.687193442622952
58.0	22.985032786885245
58.2	22.911298360655735
58.4	22.980652459016394
58.6	22.44930819672131
58.800000000000004	22.74814426229508
59.0	22.491006557377048
59.2	23.262554098360656
59.4	24.318003278688526
59.6	24.318003278688526
59.800000000000004	23.65673114754098
60.0	23.78305901639344
60.2	23.643380327868854
60.4	23.10945901639344
60.6	23.327327868852457
60.800000000000004	23.327327868852457
61.0	22.54871803278688
61.2	22.318455737704916
61.4	22.291177049180327
61.6	22.291177049180327
61.800000000000004	21.84289508196721
62.0	22.086616393442625
62.2	22.098727868852457
62.4	25.296862295081965
62.6	24.315609836065573
62.800000000000004	24.315609836065573
63.0	23.290160655737704
63.2	23.222704918032786
63.440000000000005	23.222704918032786
63.64	22.60269836065574
63.800000000000004	23.09846229508197
64.0	23.196409836065573
64.2	22.377665573770493
64.44	22.85470163934426
64.64	22.35352786885246
64.84	22.35352786885246
65.0	22.260452459016392
65.2	22.260452459016392
65.44	23.36561967213115
65.64	24.062422950819673
65.84	23.747314754098362
66.04	23.366016393442624
66.24	23.546511475409833
66.44	22.838596721311475
66.64	22.53440655737705
66.84	22.53440655737705
67.04	22.643386885245903
67.24	22.315331147540984
67.44	22.255396721311477
67.64	22.55921967213115
67.84	22.19299344262295
68.04	22.115131147540982
68.24	22.830665573770492
68.44	24.63399344262295
68.64	23.783826229508197
68.84	23.783826229508197
69.04	24.051826229508197
69.24	23.351262295081966
69.44	23.482973770491803
69.64	22.753488524590164
69.84	22.68418032786885
70.04	22.789118032786885
70.24	22.724583606557378
70.44	22.82815737704918
70.64	22.82815737704918
70.84	22.468767213114756
71.04	22.92599344262295
71.24	22.387121311475404
71.44	25.127809836065573
71.64	24.817934426229506
71.84	23.537596721311477
72.04	23.03360655737705
72.24	22.82872131147541
72.44	22.43025573770492
72.64	22.43025573770492
72.84	22.52308524590164
73.04	23.00032786885246
73.24	22.434091803278687
73.44	22.759947540983607
73.64	23.088439344262298
73.84	22.377904918032783
74.08	22.87789836065574
74.24	22.141016393442623
74.44	22.261006557377048
74.64	22.261006557377048
74.84	22.224016393442625
75.08	22.73076393442623
