region_A
t	luma
0.0	19.09709493670886
0.2	19.544332278481015
0.4	19.544332278481015
0.6	18.7586835443038
0.8	18.651620253164555
1.0	18.85158227848101
1.2	18.778974683544305
1.4000000000000001	18.881278481012657
1.6	18.881278481012657
1.8	18.902443037974685
2.0	19.614395569620253
2.2	19.614395569620253
2.4	18.51077215189873
2.6	19.26089240506329
2.8000000000000003	19.26089240506329
3.0	18.69876265822785
3.2	18.58884810126582
3.4	18.683468354430374
3.6	18.686151898734174
3.8000000000000003	18.686151898734174
4.0	18.827829113924054
4.2	18.543341772151898
4.4	18.093240506329114
4.6000000000000005	18.11223417721519
4.8	18.373886075949365
5.0	18.734949367088607
5.2	17.76107594936709
5.4	18.495569620253164
5.6000000000000005	17.98187341772152
5.8	17.98187341772152
6.0	18.16245569620253
6.2	18.517006329113922
6.44	18.68911392405063
6.6000000000000005	18.43592405063291
6.8	18.62632911392405
7.0	18.228544303797467
7.2	18.221917721518984
7.44	18.38848417721519
7.640000000000001	18.369481012658227
7.8	18.369481012658227
8.0	18.265256329113924
8.2	17.541091772151898
8.44	17.512962025316455
8.64	17.98143670886076
8.84	17.98143670886076
9.0	17.408164556962024
9.200000000000001	17.812246835443037
9.44	17.877816455696202
9.64	17.877816455696202
9.84	18.27822151898734
10.040000000000003	17.643943037974683
10.24	18.066079113924047
10.44	18.779468354430378
10.64	18.45672151898734
10.84	18.45672151898734
11.040000000000003	18.643806962025316
11.24	18.21527848101266
11.44	18.21527848101266
11.64	18.25913924050633
11.84	18.662525316455696
12.040000000000003	18.2591582278481
12.24	18.935965189873418
12.44	17.936050632911392
12.64	17.811082278481013
12.84	17.811082278481013
13.040000000000003	18.514655063291137
13.24	18.540993670886078
13.44	18.540993670886078
13.64	17.91030379746835
13.84	18.484322784810125
14.040000000000003	18.551911392405064
14.24	18.179462025316454
14.44	17.799341772151898
14.64	17.934031645569622
14.84	17.934031645569622
15.040000000000003	18.039601265822785
15.24	18.23126898734177
15.44	17.985183544303798
15.64	17.998512658227845
15.84	18.621272151898733
16.04	18.586803797468352
16.240000000000002	18.707708860759496
16.44	19.085354430379745
16.64	18.096082278481013
16.84	18.096082278481013
17.04	18.29459493670886
17.240000000000002	18.38458860759494
17.44	18.53195569620253
17.64	18.683177215189875
17.84	18.577645569620252
18.080000000000005	17.93858227848101
18.28	17.693759493670886
18.44	17.518227848101265
18.64	18.06548101265823
18.84	18.06548101265823
19.080000000000005	18.10260126582278
19.28	18.087664556962025
19.48	18.572310126582277
19.68	17.913664556962026
19.84	17.913664556962026
20.080000000000005	18.046208860759492
20.28	18.254341772151896
20.48	18.89213924050633
20.68	18.89213924050633
20.88	18.645240506329113
21.080000000000005	18.55373417721519
21.28	18.336556962025316
21.48	18.74528481012658
21.68	18.365496835443036
21.88	18.365496835443036
22.080000000000005	18.114234177215188
22.28	18.141582278481014
22.48	17.956867088607595
22.68	17.956867088607595
22.88	18.1993417721519
23.080000000000005	18.368310126582276
23.28	18.251455696202534
23.48	18.110259493670885
23.68	18.366588607594935
23.88	18.366588607594935
24.080000000000005	18.067072784810126
24.28	17.854069620253163
24.48	17.854069620253163
24.68	18.281515822784808
24.88	17.580936708860758
25.080000000000005	18.105651898734177
25.28	18.711759493670886
25.48	18.799272151898734
25.68	18.256012658227846
25.88	18.256012658227846
26.080000000000005	19.122208860759493
26.28	19.210822784810127
26.48	18.221202531645567
26.68	18.00908227848101
26.88	18.01587341772152
27.080000000000005	18.49808227848101
27.28	18.500537974683546
27.48	17.647819620253163
